Ticker,Industry,Open Price,Market Cap,Shares Float,Gap,Price from Open,Relative Volume,News Headline,Hyperlink
GNMX,Biotechnology,$0.200000,10.35M,34.75M,26.39%,$0.24,53.01,Aevi Genomic Medicine Enters into License Agreement with AstraZeneca for Anti-IL-18 Antibody,https://finance.yahoo.com/news/aevi-genomic-medicine-enters-license-120000815.html
OMI,Medical Equipment Wholesale,$3.330000,175.65M,60.69M,20.35%,$4.01,5.46,Owens & Minor Reports Q2 Earnings Beat,https://finance.yahoo.com/news/owens-minor-reports-q2-earnings-123323682.html
PRTK,Biotechnology,$2.860000,101.14M,31.08M,3.56%,$4.25,8.03,Edited Transcript of PRTK earnings conference call or presentation 6-Aug-19 8:30pm GMT,https://finance.yahoo.com/news/edited-transcript-prtk-earnings-conference-082841119.html
MR,Oil & Gas Drilling & Exploration,$3.030000,97.77M,17.31M,14.93%,$3.46,3.62,"Enbridge's (ENB) Earnings Beat Estimates in Q2, Decline Y/Y",https://finance.yahoo.com/news/enbridges-enb-earnings-beat-estimates-135301716.html
NES,Waste Management,$3.000000,49.48M,8.61M,-1.02%,$4.17,0.47,Did Changing Sentiment Drive Nuverra Environmental Solutions's (NYSEMKT:NES) Share Price Down A Worrying 67%?,https://finance.yahoo.com/news/did-changing-sentiment-drive-nuverra-151939986.html
DF,Dairy Products,$1.050000,90.20M,80.85M,2.83%,$1.30,1.38,"Wed Rather Watch Dean Foods (DF) Stock from a Distance, Says Deutsche Bank",https://finance.yahoo.com/news/d-rather-watch-dean-foods-143214965.html
IOTS,Data Storage Devices,$8.130000,237.30M,28.59M,7.98%,$9.25,2.90,Edited Transcript of IOTS earnings conference call or presentation 6-Aug-19 9:00pm GMT,https://finance.yahoo.com/news/edited-transcript-iots-earnings-conference-060336607.html
ASMB,Biotechnology,$11.310000,318.09M,23.56M,-0.25%,$14.31,6.17,"Assembly Biosciences Announces Appointment of John McHutchison, AO, MD, as President and Chief Executive Officer",https://finance.yahoo.com/news/assembly-biosciences-announces-appointment-john-120000781.html
LTHM,Industrial Metals & Minerals,$5.540000,857.90M,145.23M,1.60%,$6.78,3.28,Livent Corporation (LTHM) Q2 2019 Earnings Call Transcript,https://finance.yahoo.com/news/livent-corporation-lthm-q2-2019-190120989.html
NAKD,Textile - Apparel Clothing,$0.090000,6.49M,73.38M,17.77%,$0.09,13.84,Naked Brand Group Limited Granted 180-Day Extension by Nasdaq to Regain Compliance with Minimum Bid Price Rule,https://finance.yahoo.com/news/naked-brand-group-limited-granted-123100961.html
SCPH,Biotechnology,$5.260000,100.17M,16.28M,3.69%,$6.00,1.36,scPharmaceuticals Inc. Reports Second Quarter 2019 Financial Results and Provides Business Update,https://finance.yahoo.com/news/scpharmaceuticals-inc-reports-second-quarter-120000003.html
SELB,Biotechnology,$1.680000,77.67M,36.70M,3.64%,$1.92,1.06,Triangle drugmaker's new partnership could lead to big gains for gene therapy,https://www.bizjournals.com/triangle/news/2019/08/07/triangle-drugmakers-new-partnership-could-lead-to.html?ana=yahoo&yptr=yahoo
